Account,Description,Major Employer Industry,Total Regional Employees
Acendas,Travel management (Hdq.),Headquarters,Less than 100
Adams Cable,Cable equipment (Hdq.),Headquarters,Less than 100
"Aerotek, Inc.",Staffing provider,Other,100 - 249
AMC Entertainment Inc.,Movie theater chain (Hdq.),Headquarters,250 - 499
American Academy of Family Physicians,Association (Hdq.),Headquarters,250 - 499
American Angus Association,Association (Hdq.),Headquarters,100 - 249
Andrews McMeel Universal,Global media company (Hdq.),Headquarters,100 - 249
Boys & Girls Clubs of Greater Kansas City,Youth organization,Other,Less than 100
Capital Electric Line Builders,Electrical contractor (Hdq.),Headquarters,500 - 999
Cedar Fair (Worlds of Fun/Oceans of Fun),Theme parks,Other,100 - 249
Charlie Hustle,Clothing retail (Hdq.),Headquarters,Less than 100
Circadia,Workplace furniture and design (Hdq.),Headquarters,Less than 100
City Wide Facility Solutions,Facilities management and maintenance (Hdq.),Headquarters,250 - 499
Company Kitchen,Workplace food services (Hdq.),Headquarters,Less than 100
Compass Minerals,Salt production (Hdq.),Headquarters,100 - 249
Control Service Company,Designs premier building automation systems (Hdq.),Headquarters,Less than 100
Cromwell Environmental,Design and install passive and active solar systems and wind turbines,Other,Less than 100
ECCO Select,Talent acquisition and consulting firm,Other,250 - 499
ECS Geothermal,Geothermal systems,Other,Less than 100
Energy Transfer,Buyer and seller of propane,Other,Less than 100
Enjet Aero,Commercial and military aircraft engine assembly (Hdq.),Headquarters,Less than 100
Enterprise Mobility,Car and truck rental,Headquarters; Other,500 - 999
Foley Equipment,Construction equipment and supplies,Other,500 - 999
Fry-Wagner Relocation & Logistics,Full service relocation company,Other,100 - 249
GoodLife Innovations,Residential & other disabled adult services,Other,250 - 499
Greater Kansas City Chamber of Commerce,Business organization,Other,Less than 100
Greater Kansas City Community Foundation,Charitable foundation,Other,Less than 100
Haskell Indian Nations University,Higher educaton,Other,100 - 249
Helzberg,Jewelry retailer (Hdq.),Headquarters,250 - 499
Higginsville Habilitation Center,Sheltered workshop,Other,250 - 499
HMXLive,"Full service sound, lighting, video rental, sales and services production company (Hdq.)",Headquarters,Less than 100
John Knox Village,Retirement community,Other,500 - 999
Johnson County Developmental Supports,IDD service provider,Other,250 - 499
Kansas City Board of Public Utilities,Utility,Other,500 - 999
Kansas City Chiefs,National Football League team,Other,250 - 499
Kansas City Regional Association of REALTORS,Realtor trade organization,Other,Less than 100
Kansas City Royals,Major League Baseball team,Other,250 - 499
Kauffman Foundation,Foundation focusing on entreprenuership and youth development,Other,100 - 249
KBP Brands,Brand franchises (Hdq.),Headquarters,100 - 249
MC Power Companies,Radiant outdoor heating,Other,Less than 100
McCray Lumber and Millwork,Lumber (Hdq.),Headquarters,100 - 249
Mid-America Regional Council (MARC),"Regional group to advance social, economic, and environmental progress",Other,100 - 249
Midland Radio Corporation,Communication equipment (Hdq.),Headquarters,Less than 100
Morgan Hunter Companies,Placement agency,Other,Less than 100
"N.W. Electric Power Cooperative, Inc.",Non-profit electric utility company,Other,Less than 100
Northwest Missouri Psychiatric Rehabilitation Center,Health services,Other,250 - 499
Penny's Concrete,Concrete provider,Other,Less than 100
R/S Electric Corp.,Electrical construction (Hdq.),Headquarters,250 - 499
"RoadBuilders Machinery & Supply Co., Inc.",Construction equipment (Hdq.),Headquarters,Less than 100
Russell Stover Chocolates,Chocolate retailer (N.A. Hdq.),Headquarters,250 - 499
Santa Fe Air,Rep for solar water heaters and small wind turbines (Hdq.),Headquarters,Less than 100
ScriptPro,Pharmacy robotics for prescription fulfillment systems (Hdq.),Headquarters,500 - 999
SkillPath,Training for professionals (Hdq.),Headquarters,Less than 100
"Spire, Inc.",Utility,Other,500 - 999
Sporting Kansas City,Major League Soccer team,Other,100 - 249
Starlight Theatre,Performing arts organization,Other,Less than 100
Superior Bowen,Asphalt and development contracting (Hdq.),Headquarters,250 - 499
"The Andersons, Inc.",Agriculture trading,Other,100 - 249
Wachter Electric Company Wachter Network Services,"Service provider of electrical, data, communications, and automation (Hdq.)",Headquarters,100 - 249
Waste Management,Waste management services,Other,500 - 999
"Westlake Hardware, Inc.",Retailer shared service center,Other,500 - 999
Woodley Building Maintenance,Janitorial services,Other,500 - 999
Worldwide Express,Logistics consultation and sales,Other,100 - 249
